transaction_amount,transaction_location,transaction_time,is_fraud
152,3,0,0
485,2,0,0
910,3,19,0
320,1,12,1
156,2,8,1
121,1,2,0
750,1,6,1
70,2,5,1
664,3,7,1
171,1,8,1
516,2,4,0
264,1,0,1
380,1,18,1
508,1,9,0
137,1,11,0
422,3,23,1
149,1,14,1
921,1,21,1
713,1,23,1
180,3,8,1
711,1,19,1
358,1,16,0
819,3,16,1
393,3,19,1
541,3,11,0
463,1,6,0
855,3,1,0
435,3,2,0
241,1,16,1
326,3,4,1
210,1,16,1
509,2,23,1
363,3,16,1
71,2,16,1
302,1,1,0
797,3,1,1
906,1,21,0
610,2,22,0
524,1,4,1
108,3,0,0
560,3,0,1
731,2,18,0
525,1,1,1
749,3,20,0
832,2,11,1
239,3,5,1
736,3,22,1
612,1,3,1
925,3,22,1
616,1,10,0
293,3,23,0
881,2,16,0
554,3,5,1
180,1,23,0
534,1,4,1
868,2,19,1
696,3,1,0
70,3,5,0
890,2,21,1
216,3,10,0
323,3,15,1
437,1,15,1
650,3,0,1
365,3,8,1
63,2,5,1
291,2,15,0
826,1,2,0
395,3,19,1
614,3,3,1
947,3,18,0
389,1,2,0
141,1,18,1
416,2,19,0
504,1,6,1
477,3,19,0
558,3,8,1
825,1,0,0
992,3,7,1
84,3,6,0
255,1,17,0
130,1,7,1
981,3,0,0
611,3,10,1
921,3,17,0
437,2,22,1
51,2,9,0
439,2,2,1
615,1,6,0
155,2,15,1
821,1,15,0
871,1,19,1
526,2,16,1
752,2,1,1
451,2,0,0
779,3,15,1
605,2,11,0
211,3,4,1
251,1,4,0
319,3,22,1
912,2,8,0
